Treatment,Mutant,1,2,3,4,5,6,7,8
WL,a,1.0203,1.052,0.771333,0.633333,0.829667,0.7626,0.978,0.462
WL,b,0.4756,0.597,0.481333,0.585333,0.394,0.406,0.5597,0.523
WL,c,0.494,0.272,0.613667,0.435333,0.49,0.496,0.405,0.54
WL,d,0.538,0.135,0.276,0.273,0.404,0.342,0.296,0.39
WL,e,0.488,0.725,0.652333,0.666333,0.578,1.137,0.677,0.53
WL,f,0.473,0.585,0.637,0.357667,0.564,0.665,0.4897,0.63
FR,a,0.4073,0.433,0.475333,0.429667,0.404,0.491,0.431,0.403
FR,b,0.0653,0.166,0.199333,0.138333,0.177,0.135,0.129,0.173
FR,c,0.32,0.307,0.293,0.170667,0.425333,0.424,0.319,0.225
FR,d,0.0253,0.279,0.212,0.332,0.119,0.28,0.117,0.14
FR,e,0.316,0.212,0.556333,0.276,0.375333,0.307,0.25,0.33
FR,f,0.4136,0.459,0.476667,0.404,0.419,0.495,0.381,0.36
