Treatment,Mutant,,,,,,
WL,a,10.96233,7.89,7.177333,9.7196,8.049,
WL,b,11.137,18.33,10.54567,13.21793,14.61767,
WL,c,4.791333,7.09,5.343667,8.6128,5.989667,
WL,d,4.647,4.03,4.591,7.8835,4.945,
WL,e,4.713333,6.47,5.373,9.1676,5.219333,
WL,f,6.920333,6.61,6.357333,8.592167,6.730667,
FR,a,10.989,8.97,7.332667,11.53127,9.715667,8.438
FR,b,15.872,14.18,10.00733,12.2492,18.68033,14.287
FR,c,6.348,11.21,6.515,10.8164,8.271333,7.473
FR,d,2.934,6.04,2.978,8.5666,5.378,3.515
FR,e,9.465,10.45,6.401667,7.845933,7.848,6.81
FR,f,8.974,9.34,7.036667,9.962333,12.06367,6.747
